MonitoringStation,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude
CB4.1C,29764,BAY424,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,8/9/05,13:16:00,32.5,8.5,17.5,1,S ,D,S1,CDOM_440,,0.38038,1/M,L01 ,CBL,,,,,38.82593,-76.39945
CB4.1C,23448,BAY425,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,8/24/05,12:34:00,32.5,7.5,15.5,1,S ,D,S1,CDOM_440,,0.38537,1/M,L01 ,CBL,,,,,38.82593,-76.39945
CB4.1C,23742,BAY426,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,9/13/05,12:53:00,32.5,8.5,16.5,1,S ,D,S1,CDOM_440,,0.42836,1/M,L01 ,CBL,,,,,38.82593,-76.39945
CB4.1C,24675,BAY428,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,10/26/05,15:34:00,33,,,1,S ,D,S1,CDOM_440,,0.49937,1/M,L01 ,CBL,,,,,38.82593,-76.39945
CB4.1C,24675,BAY428,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,10/26/05,15:34:00,33,,,1,S ,D,S1,CDOM_SLOPE,,0.01497,1/NM,L01 ,CBL,,,,,38.82593,-76.39945
CB4.1C,23742,BAY426,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,9/13/05,12:53:00,32.5,8.5,16.5,1,S ,D,S1,CDOM_SLOPE,,0.01729,1/NM,L01 ,CBL,,,,,38.82593,-76.39945
CB4.1C,23448,BAY425,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,8/24/05,12:34:00,32.5,7.5,15.5,1,S ,D,S1,CDOM_SLOPE,,0.01723,1/NM,L01 ,CBL,,,,,38.82593,-76.39945
CB4.1C,29764,BAY424,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,8/9/05,13:16:00,32.5,8.5,17.5,1,S ,D,S1,CDOM_SLOPE,,0.01818,1/NM,L01 ,CBL,,,,,38.82593,-76.39945
CB4.1C,29764,BAY424,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,8/9/05,13:16:00,32.5,8.5,17.5,0.5,S ,D,S1,CHLA,,15.55,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,29764,BAY424,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,8/9/05,13:16:00,32.5,8.5,17.5,7,AP,D,S1,CHLA,,15.251,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,29764,BAY424,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,8/9/05,13:16:00,32.5,8.5,17.5,19,BP,D,S1,CHLA,,0.399,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,29462,BAY423,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,7/26/05,12:55:00,31,8.5,10.5,7,AP,D,S1,CHLA,,2.691,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
