76     !    element      ia           ib      sign
1            5406        3003        3002      -1
1            5406        2931        3003       1
1            5407        3003        2931      -1
1            5407        2931        2932       1
1            5281        2932        2931      -1
1            5281        2931        2856       1
1            5280        2856        2931      -1
1           5280        2931        2930       1
1            5404        2930        2931      -1
1            5404        3001        2930       1
1            5403        2930        3001      -1
1            5403        2929        2930       1
1            5278        2930        2929      -1
1            5278        2929        2855       1
1            5277        2855        2929      -1
1            5277        2929        2854       1
1            5276        2854        2929      -1
1           5276        2853        2854       1
1           5144        2854        2853      -1
1           5144        2853        2784       1
1           5143        2784        2853      -1
1           5143        2852        2784       1
1           5142        2784        2852      -1
1           5142        2783        2784       1
1           5018        2784        2783      -1
1           5018        2783        2714       1
1           5017        2714        2783      -1
1           5017        2783        2713       1
1           5016        2713        2783      -1
1           5016        2782        2713       1
1           5015        2713        2782      -1
1           5015        2712        2713       1
1           4893        2713        2712      -1
1           4893        2642        2713       1
1           4894        2713        2642      -1
1           4894        2642        2643       1
1           4770        2643        2642      -1
1           4770        2642        2569       1
1           4769        2569        2642      -1
1           4769        2642        2568       1
1           4768        2568        2642      -1
1           4768        2641        2568       1
1           4767        2568        2641      -1
1           4767        2567        2568       1
1           4640        2568        2567      -1
1           4640        2567        2492       1
1           4639        2492        2567      -1
1           4639        2491        2492       1
1           4495        2492        2491      -1
1           4495        2404        2492       1
1           4496        2492        2404      -1
1           4496        2404        2405       1
1           4343        2405        2404      -1
1           4343        2404        2323       1
1           4342        2323        2404      -1
1           4342        2404        2322       1
1           4341        2322        2404      -1
1           4341        2403        2322       1
1           4340        2322        2403      -1
1           4340        2403        2321       1
1           4339        2321        2403      -1
1           4339        2402        2321       1
1           4338        2321        2402      -1
1           4338        2401        2321       1
1           4336        2321        2401      -1
1           4336        2401        2319       1
1           4335        2319        2401      -1
1           4335        2400        2319       1
1          4334        2319        2400      -1
1          4334        2400        2318       1
1          4333        2318        2400      -1
1          4333        2399        2318       1
1          4332        2318        2399      -1
1          4332        2329        2318       1
1          4211        2318        2329      -1
1          4211        2329        2253       1
