Number of Control Volume Faces
26
Tid   GELid       Ia     Ib    Sign
1    4654      2575  2499    1
1    4511      2499  2498   -1
1    4510      2498  2413    1
1    4509      2413  2497   -1
1    4508      2497  2412    1
1    4506      2412  2496   -1
1    4507      2412  2410   -1
1    4355      2412  2411   -1
1    4354      2411  2328    1
1    4209      2328  2327   -1
1    4208      2327  2252    1
1    4207      2327  2251    1 
1    4069      2251  2250   -1
1    4068      2250  2174    1
1    4067      2250  2173    1
1    3933      2173  2172   -1
1    3932      2172  2081    1
1    3773      2081  2080   -1
1    3772      2080  1994    1
1    3619      1994  1993   -1
1    3618      1993  1902    1
1    3617      1902  1992   -1
1    3616      1992  1901    1
1    3469      1901  1907   -1
1    3468      1907  1822    1
1    3468      1822  1908   -1
